,LICENSED_CERTIFIED,FLAG,T18_19,FACID,FAC_STATUS_TYPE_CODE,ASPEN_FACID,CCN,TERMINAT_SW,PARTICIPATION_DATE,APPROVAL_DATE,NPI,CAN_BE_DEEMED_FAC_TYPE,CAN_BE_CERTIFIED_FAC_TYPE,DEEMED,AO_CD,DMG_EFCTV_DT,AO_TRMNTN_DT,AO_NAME,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,PARENT_FACID,FAC_FAC_RELATIONSHIP_TYPE_CODE,START_DATE,LICENSE_NUMBER,BUSINESS_NAME,LICENSE_STATUS_DESCRIPTION,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_ID,CCLHO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,BIRTHING_FACILITY_FLAG,TRAUMA_PED_CTR,TRAUMA_CTR,TYPE_OF_CARE,CRITICAL_ACCESS_HOSPITAL,DATA_DATE,primary_care,nursing,pediatric,mental_health
3194,LICENSED AND CERTIFIED,USE PARENT MATCH,,220000531,OPEN,CA220000019,050228,,1-Jul-66,10-Sep-21,1164609962,Y,Y,1.0,1.0,5/8/21 0:00,,JC,SAN FRANCISCO GENERAL HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,83,1001 POTRERO AVE,SAN FRANCISCO,94110,3518,,,,(415) 206-8100,480,SAN FRANCISCO,22,SAN FRANCISCO,N,220000019.0,DISTINCT PART,1-Jul-53,220000063.0,"CITY & COUNTY OF SAN FRANCISCO, DEPT. PUBLIC HEALTH",ACTIVE,1-Jul-53,14-Apr-21,13-Apr-22,COUNTY,37.756161,-122.4056655,"(-122.4056655,37.756161)",,38,SAN FRANCISCO,6075,,,,,,15-Mar-22,False,False,False,True
3225,LICENSED AND CERTIFIED,USE PARENT MATCH,,220000815,OPEN,CA220000815,050008,,1-Jul-66,25-Mar-20,1376619031,Y,Y,1.0,1.0,3/28/19 0:00,,JC,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,0,601 DUBOCE AVE,SAN FRANCISCO,94117,3389,,,,(415) 565-6003,480,SAN FRANCISCO,22,SAN FRANCISCO,N,220000023.0,DISTINCT PART,23-Feb-05,220000197.0,SUTTER BAY HOSPITALS,ACTIVE,,30-Jan-22,29-Jan-23,NONPROFIT CORP,37.76905359,-122.4346773,"(-122.4346773,37.769053589)",,38,SAN FRANCISCO,6075,,,,,,15-Mar-22,False,False,False,True
3277,LICENSED ONLY,,,220001050,OPEN,CA220001050,,,,,,N,N,,,,,,THE CHILDREN'S HEALTH COUNCIL,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,650 CLARK WAY,PALO ALTO,94304,2300,"WHITLOCK, ROSALIE",INFO@CHCONLINE.ORG,(650) 688-3636,(650) 688-3612,530,SANTA CLARA,7,SAN JOSE,Y,,PARENT,,220000427.0,CHILDREN'S HEALTH COUNCIL INC.,ACTIVE,12-Jan-80,30-May-21,29-May-22,NONPROFIT CORP,37.440315,-122.178492,"(-122.178492,37.440315)",306434097.0,43,SANTA CLARA,6085,,,,,,15-Mar-22,False,False,False,True
3422,LICENSED ONLY,USE PARENT MATCH,,230000352,OPEN,CA230000002,,,,,,Y,Y,,,,,,ENLOE MEDICAL CENTER - COHASSET D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,30,560 COHASSET RD,CHICO,95926,2212,"WILTERMOOD, MIKE",,,(530) 332-7300,30,BUTTE,23,CHICO,N,230000002.0,DISTINCT PART,29-Mar-46,230000027.0,ENLOE MEDICAL CENTER,ACTIVE,29-Mar-46,7-Dec-21,29-Jun-22,NONPROFIT CORP,39.752901,-121.8479445,"(-121.8479445,39.752901)",,4,BUTTE,6007,,,,,,15-Mar-22,False,False,False,True
3620,LICENSED AND CERTIFIED,USE PARENT MATCH,,240000317,OPEN,CA240000082,050089,,1-Jul-66,27-Aug-18,1235290818,Y,Y,1.0,1.0,5/19/18 0:00,,JC,COMMUNITY HOSPITAL OF SAN BERNARDINO D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,74,1805 MEDICAL CENTER DR,SAN BERNARDINO,92411,1217,"BARTON III, RAY",,,(909) 887-6333,460,SAN BERNARDINO,24,SAN BERNARDINO,N,240000082.0,DISTINCT PART,30-Jun-86,240000198.0,SAN BERNARDINO COMMUNITY HOSPITAL,ACTIVE,30-Jun-86,1-Nov-21,31-Oct-22,NONPROFIT CORP,34.13163171,-117.3225026,"(-117.3225026,34.131631713)",,36,SAN BERNARDINO,6071,,,,,,15-Mar-22,False,False,False,True
3624,LICENSED AND CERTIFIED,USE PARENT MATCH,,240000425,OPEN,CA240000046,050272,,1-Jul-66,30-May-19,1043354111,Y,Y,1.0,1.0,6/11/16 0:00,,JC,REDLANDS COMMUNITY HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,18,350 TERRACINA BLVD,REDLANDS,92373,4850,"DE LANGE, GEORGE",,,(909) 335-5500,460,SAN BERNARDINO,24,SAN BERNARDINO,N,240000046.0,DISTINCT PART,1-Jan-46,240000191.0,REDLANDS COMMUNITY HOSPITAL,ACTIVE,1-Jan-46,1-Nov-21,31-Oct-22,NONPROFIT CORP,34.036506,-117.2051775,"(-117.2051775,34.036506)",,36,SAN BERNARDINO,6071,,,,,,15-Mar-22,False,False,False,True
3625,LICENSED AND CERTIFIED,USE PARENT MATCH,,240000454,OPEN,CA240000100,050245,,1-Jul-66,1-Oct-19,1790781169,Y,Y,1.0,1.0,3/24/17 0:00,,JC,ARROWHEAD REGIONAL MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,90,400 N PEPPER AVE,COLTON,92324,1801,"JARVIS, CHARLES",,,(909) 580-1000,460,SAN BERNARDINO,24,SAN BERNARDINO,N,240000100.0,DISTINCT PART,1-Jul-53,240000197.0,SAN BERNARDINO COUNTY DBA ARROWHEAD REGIONAL MEDICAL CENTER,ACTIVE,1-Jul-53,1-Feb-22,31-Jan-23,COUNTY,34.07193214,-117.3527728,"(-117.3527728,34.07193214)",,36,SAN BERNARDINO,6071,,,,,,15-Mar-22,False,False,False,True
3630,LICENSED AND CERTIFIED,,,240000578,OPEN,CA240000578,054093,,5-Apr-88,9-Apr-19,1336156470,Y,Y,1.0,1.0,12/21/18 0:00,,JC,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,89,1710 BARTON RD,REDLANDS,92373,5304,"FIELD, EDWARD",EMORENOBARRAGAN@LLU.EDU,(909) 651-4213,(909) 651-4271,460,SAN BERNARDINO,24,SAN BERNARDINO,Y,,PARENT,,240000281.0,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,ACTIVE,16-Jan-88,16-Jan-22,15-Jan-23,NONPROFIT CORP,34.049439,-117.214092,"(-117.214092,34.049439)",106364014.0,36,SAN BERNARDINO,6071,,,,,,15-Mar-22,False,False,False,True
3650,LICENSED AND CERTIFIED,,,240000778,OPEN,CA240000778,054111,,13-Feb-90,24-Oct-19,1902825128,Y,Y,1.0,1.0,8/16/19 0:00,,JC,CANYON RIDGE HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,157,5353 G ST,CHINO,91710,5249,"BERNIER, STEPHANIE",STEPHANIE.BERNIER@UHSINC.COM,(909) 590-4033,(909) 590-3700,460,SAN BERNARDINO,24,SAN BERNARDINO,Y,,PARENT,,240000357.0,"CANYON RIDGE HOSPITAL, INC.",ACTIVE,11-Jan-90,30-Nov-21,29-Nov-22,PROFIT CORP,34.009074,-117.68805,"(-117.68805,34.009074)",106364050.0,36,SAN BERNARDINO,6071,,,,,,15-Mar-22,False,False,False,True
3865,LICENSED AND CERTIFIED,,,250000048,OPEN,CA250000048,054130,,24-Feb-93,13-Oct-17,1003243577,Y,Y,1.0,1.0,4/9/21 0:00,,JC,PACIFIC GROVE HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,68,5900 BROCKTON AVE,RIVERSIDE,92506,1862,"NIAZI, SAAD",SAAD.NIAZI@PACIFICGROVEHOSPITAL.COM,(951) 788-4136,(951) 275-8400,430,RIVERSIDE,25,RIVERSIDE,Y,,PARENT,,250000476.0,"VISTA BEHAVIORAL HOSPITAL, LLC",ACTIVE,18-Dec-92,10-Dec-21,9-Dec-22,LIMITED LIABILITY COMPANY,33.962283,-117.395316,"(-117.395316,33.962283)",106331226.0,33,RIVERSIDE,6065,,,,,,15-Mar-22,False,False,False,True
3913,LICENSED ONLY,,,250000406,OPEN,CA250000406,,,,,,N,N,,,,,,BARBARA SINATRA CHILDREN'S CENTER AT EISENHOWER,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,39000 BOB HOPE DR,RANCHO MIRAGE,92270,3221,"SERFLING, AUBREY",JTHORESEN@EISENHOWERHEALTH.ORG,(760) 340-1851,(760) 340-2336,430,RIVERSIDE,25,RIVERSIDE,Y,,PARENT,,250000253.0,BARBARA SINATRA CHILDREN'S CENTER AT EISENHOWER,ACTIVE,1-Nov-86,1-Nov-21,31-Oct-22,NONPROFIT CORP,33.764652,-116.40555,"(-116.40555,33.764652)",306334009.0,33,RIVERSIDE,6065,,,,,,15-Mar-22,False,False,False,True
3915,LICENSED AND CERTIFIED,USE PARENT MATCH,,250000500,OPEN,250000050,050292,,1-Jul-66,9-Apr-18,1821159195,Y,Y,1.0,1.0,11/11/17 0:00,,JC,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,77,9990 COUNTY FARM RD,RIVERSIDE,92503,3542,"PLATNER, FERN",,,(951) 358-4700,430,RIVERSIDE,25,RIVERSIDE,N,250000050.0,DISTINCT PART,1-Jul-53,250000195.0,COUNTY OF RIVERSIDE,ACTIVE,1-Jul-53,13-Dec-21,31-Mar-22,COUNTY,33.9200671,-117.4580716,"(-117.4580716,33.920067103)",106331314.0,33,RIVERSIDE,6065,,,,,,15-Mar-22,False,False,False,True
3971,LICENSED AND CERTIFIED,USE PARENT MATCH,,250001277,OPEN,250000007,050329,,1-Mar-69,9-Feb-20,1457347239,Y,Y,1.0,1.0,5/3/19 0:00,,JC,CORONA REGIONAL MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,38,730 MAGNOLIA AVE,CORONA,92879,3117,"GRAY, TRICIA",ALVIN.MUNOZ@UHSINC.COM,(951) 736-7211,(951) 736-7264,430,RIVERSIDE,25,RIVERSIDE,N,250000006.0,DISTINCT PART,15-Jan-65,250000126.0,"UHS-CORONA, INC.",ACTIVE,15-Jan-65,8-Mar-21,7-Mar-22,PROFIT CORP,33.857991,-117.5538195,"(-117.5538195,33.857991)",,33,RIVERSIDE,6065,,,,,,15-Mar-22,False,False,False,True
4154,LICENSED ONLY,,,630004061,OPEN,CA630004061,,,,,,Y,Y,0.0,,,,,DEPARTMENT OF STATE HOSPITALS - COALINGA,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,50,24511 W JAYNE AVE,COALINGA,93210,9503,"PRICE, BRANDON",CSH_LICENSING@DSH.CA.GOV,(559) 935-4308,(559) 935-4300,90,FRESNO,17,STATE FACILITIES SECTION,Y,,PARENT,,550000061.0,"STATE OF CALIFORNIA, DEPARTMENT OF STATE HOSPITALS",ACTIVE,25-Aug-05,25-Nov-21,24-Nov-22,STATE AGENCY,36.134613,-120.242133,"(-120.242133,36.134613)",106105051.0,10,FRESNO,6019,,,,,,15-Mar-22,False,False,False,True
4328,LICENSED AND CERTIFIED,,,630008921,OPEN,630008921,054145,,1-Oct-07,24-Oct-17,1346334468,Y,Y,1.0,1.0,4/22/17 0:00,,JC,SHARP MESA VISTA HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,159,7850 VISTA HILL AVE,SAN DIEGO,92123,2717,"KHALEGHI, TRISHA",TRISHA.KHALEGHI@SHARP.COM,(858) 278-5920,(858) 278-4110,470,SAN DIEGO,10,SAN DIEGO,Y,,PARENT,,550000273.0,SHARP MEMORIAL HOSPITAL,ACTIVE,8-Sep-06,8-Nov-21,7-Nov-22,NONPROFIT CORP,32.795613,-117.155196,"(-117.155196,32.795613)",106370745.0,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
4530,LICENSED ONLY,,,630011176,OPEN,CA630011176,,,,,,N,N,,,,,,ROSE CITY COUNSELING CENTER,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,595 E COLORADO BLVD,PASADENA,91101,2021,"KARBELING, ALAN M",ROSECITYCENTERSTAFF@GMAIL.COM,(626) 793-0255,(626) 793-8609,200,LOS ANGELES,96,LA ICF/DD/CLINICS,Y,,PARENT,,550000788.0,ROSE CITY COUNSELING CENTER,ACTIVE,10-Sep-08,10-Nov-21,9-Nov-22,NONPROFIT CORP,34.146207,-118.1380455,"(-118.1380455,34.146207)",306197162.0,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
4711,LICENSED AND CERTIFIED,,,630011475,OPEN,CA630011475,054147,,24-Jul-09,21-Jul-21,1538338793,Y,Y,1.0,1.0,12/1/16 0:00,,JC,JOYCE EISENBERG KEEFER MEDICAL CENTER,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,10,7150 TAMPA AVE,RESEDA,91335,3700,"SPRINGER, ILANA",ILANA.SPRINGER@JHA.ORG,(818) 757-4408,(818) 774-3069,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,550000621.0,GRANCELL VILLAGE OF THE LOS ANGELES JEWISH HOME FOR THE AGING,ACTIVE,2-Oct-07,2-Nov-21,1-Nov-22,NONPROFIT CORP,34.200441,-118.5531345,"(-118.5531345,34.200441)",106196404.0,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
5114,LICENSED AND CERTIFIED,USE PARENT MATCH,,630012186,OPEN,CA93000035,050763,,25-Nov-08,5-Aug-21,1780183335,Y,Y,1.0,1.0,5/15/21 0:00,,JC,L.A. DOWNTOWN MEDICAL CENTER-D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,29,1711 W TEMPLE ST,LOS ANGELES,90026,5421,,,,,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,N,930000035.0,DISTINCT PART,1-Apr-09,930000137.0,"L.A. DOWNTOWN MEDICAL CENTER, LLC",ACTIVE,21-Oct-74,18-Nov-21,17-Nov-22,LIMITED LIABILITY COMPANY,34.068897,-118.263366,"(-118.263366,34.068897)",,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
5493,LICENSED AND CERTIFIED,,,630012880,OPEN,550001413,054151,,12-Feb-14,8-Nov-21,1922378215,Y,Y,1.0,1.0,5/23/18 0:00,,JC,"AURORA BEHAVIORAL HEALTHCARE-SANTA ROSA, LLC",APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,95,1287 FULTON RD,SANTA ROSA,95401,4923,"HICKERSON, CHAD",CHAD.HICKERSON@SIGNATUREHC.COM,(707) 800-7797,(707) 800-7700,590,SONOMA,11,SANTA ROSA,Y,,PARENT,,550001413.0,"AURORA BEHAVIORAL HEALTHCARE - SANTA ROSA, LLC",ACTIVE,15-Nov-10,15-Nov-21,14-Nov-22,LIMITED LIABILITY COMPANY,38.450376,-122.7719925,"(-122.7719925,38.450376)",106494048.0,49,SONOMA,6097,,,,,,15-Mar-22,False,False,False,True
5534,LICENSED ONLY,,,630012941,OPEN,CA630012941,,,,,,N,N,,,,,,MASONIC CENTER FOR YOUTH AND FAMILIES,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,6 FUNSTON AVE,SAN FRANCISCO,94129,1109,"RICH, KIMBERLY",INFORMATION@MCYAF.ORG,(415) 929-3030,(877) 488-6293,480,SAN FRANCISCO,22,SAN FRANCISCO,Y,,PARENT,,550001484.0,MASONIC HOMES OF CALIFORNIA,ACTIVE,9-Feb-11,9-Feb-22,8-Feb-23,NONPROFIT CORP,37.799487,-122.4559665,"(-122.4559665,37.799487)",306384217.0,38,SAN FRANCISCO,6075,,,,,,15-Mar-22,False,False,False,True
5553,LICENSED ONLY,,,630012969,OPEN,CA630012969,,,,,,N,N,0.0,,,,,WELL BABY CENTER,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,12316 VENICE BLVD,LOS ANGELES,90066,3802,"HELFORD, REBEKKA",INFO@WELLBABYCENTER.ORG,424-289-9100,(310) 402-2229,200,LOS ANGELES,96,LA ICF/DD/CLINICS,Y,,PARENT,,550001464.0,INFANT PARENT MENTAL HEALTH FOUNDATION DBA WELL BABY CENTER,ACTIVE,29-Dec-10,29-Dec-20,28-Dec-21,NONPROFIT CORP,34.003845,-118.4327505,"(-118.4327505,34.003845)",306197554.0,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
5564,LICENSED AND CERTIFIED,USE PARENT MATCH,,630012984,OPEN,CA220000017,050007,,1-Jul-66,23-Apr-19,1043670334,Y,Y,1.0,1.0,10/27/11 0:00,,JC,MILLS HEALTH CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,60,100 S. SAN MATEO DRIVE,SAN MATEO,94401,,,,,,510,SAN MATEO,22,SAN FRANCISCO,N,220000017.0,DISTINCT PART,6-Dec-10,220000037.0,SUTTER BAY HOSPITALS,ACTIVE,,1-Aug-21,31-Jul-22,NONPROFIT CORP,37.565073,-122.326461,"(-122.326461,37.565073)",106414145.0,41,SAN MATEO,6081,,,,,,15-Mar-22,False,False,False,True
6076,LICENSED AND CERTIFIED,USE PARENT MATCH,,630013773,OPEN,CA080000023,053303,,1-Jul-84,19-Feb-20,1710065933,Y,Y,1.0,1.0,11/11/17 0:00,,JC,RADY CHILDREN'S HOSPITAL - SAN DIEGO,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,24,3020 CHILDRENS WAY,SAN DIEGO,92123,4223,,,,,470,SAN DIEGO,10,SAN DIEGO,N,80000023.0,DISTINCT PART,1-Jul-12,80000028.0,RADY CHILDREN'S HOSPITAL - SAN DIEGO,ACTIVE,18-Aug-54,26-May-21,30-Apr-22,NONPROFIT CORP,32.798322,-117.1520235,"(-117.1520235,32.798322)",106374047.0,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
7752,LICENSED AND CERTIFIED,,,630016368,OPEN,CA630016368,054154,,21-Jun-16,2-Jul-19,1508252149,Y,Y,1.0,1.0,6/21/16 0:00,,JC,SAN JOSE BEHAVIORAL HEALTH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,80,455 SILICON VALLEY BOULEVARD,SAN JOSE,95138,1858,"PETERSON, SEAN",JENSLEY@CHP-DOD.COM,(831) 620-0304,(831) 620-0700,530,SANTA CLARA,7,SAN JOSE,Y,,PARENT,,550003449.0,"SJBH, LLC",ACTIVE,31-Mar-16,31-Mar-21,30-Mar-22,LIMITED LIABILITY COMPANY,37.24837109,-121.7725608,"(-121.7725608,37.248371086)",106434032.0,43,SANTA CLARA,6085,,,,,,15-Mar-22,False,False,False,True
7822,LICENSED AND CERTIFIED,USE PARENT MATCH,,630016462,OPEN,93000114,050776,,29-Oct-13,21-Dec-17,1215373626,Y,Y,0.0,15.0,10/29/16 0:00,5/28/20 0:00,DNV GL,COLLEGE MEDICAL CENTER,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,0,2776 PACIFIC AVE.,LONG BEACH,90806,2613,,,,,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,N,930000114.0,DISTINCT PART,9-Oct-13,930000117.0,"CHLB,LLC",ACTIVE,13-Jun-56,9-Oct-21,8-Oct-22,LIMITED LIABILITY COMPANY,33.80733,-118.193049,"(-118.193049,33.80733)",,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
7932,LICENSED AND CERTIFIED,,,630016595,OPEN,CA630016595,054155,,18-Oct-16,28-Oct-19,1700259165,Y,Y,1.0,1.0,7/18/19 0:00,,JC,BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL. LLC,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,90,5201 WHITE LANE,BAKERSFIELD,93309,6200,"CHINN, JEFF",JASMINE.GARCIA@BAKERSFIELDBEHAVIORAL.COM,(661) 241-6252,(661) 241-5506,140,KERN,12,BAKERSFIELD,Y,,PARENT,,550003535.0,"BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL, LLC",ACTIVE,1-Jun-16,1-Jun-21,31-May-22,LIMITED LIABILITY COMPANY,35.316756,-119.060631,"(-119.060631,35.316756)",106154044.0,15,KERN,6029,,,,,,15-Mar-22,False,False,False,True
11029,LICENSED ONLY,,,630020345,OPEN,630020345,,,,,,N,N,,,,,,CENTRAL VALLEY INDIAN HEALTH BEHAVIORAL HEALTH SERVICES,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,255 W BULLARD AVE,CLOVIS,93612,,"FOWLER, CHARLES",JRAMSEY@CVIH.ORG,(559) 299-2578,(559) 299-2435,90,FRESNO,4,FRESNO,Y,,PARENT,,550006735.0,"CENTRAL VALLEY INDIAN HEALTH, INC.",ACTIVE,25-Jun-21,25-Dec-21,24-Jun-22,NONPROFIT CORP,36.823239,-119.7144855,"(-119.7144855,36.823239)",,10,FRESNO,6019,,,,,,15-Mar-22,False,False,False,True
11079,LICENSED ONLY,,,630020407,OPEN,CA630020407,,,,,,N,N,,,,,,"SOCIAL ADVOCATES FOR YOUTH, SAN DIEGO, INC.",PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,4775 VIEWRIDGE AVE,SAN DIEGO,92123,1641,"VALES, KELLY",KELLY@SAYSANDIEGO.ORG,(585) 565-4178,(858) 565-4148,470,SAN DIEGO,10,SAN DIEGO,Y,,PARENT,,550006067.0,"SOCIAL ADVOCATES FOR YOUTH, SAN DIEGO, INC.",ACTIVE,3-Mar-21,3-Mar-22,2-Mar-23,NONPROFIT CORP,32.825259,-117.1204785,"(-117.1204785,32.825259)",,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
11420,LICENSED ONLY,,,630020794,OPEN,CA630020794,,,,,1811549504,Y,Y,,,,,,"SACRAMENTO BEHAVIORAL HEALTHCARE HOSPITAL, LLC",APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,117,1400 EXPO PKWY,SACRAMENTO,95815,4320,"HICKERSON, CHAD",CHAD.HIKCERSON@SIGNATUREHC.COM,(916) 437-6590,(707) 478-3782,440,SACRAMENTO,3,SACRAMENTO,Y,,PARENT,,550007457.0,"SACRAMENTO BEHAVIORAL HEALTHCARE HOSPITAL, LLC",ACTIVE,17-Dec-21,17-Dec-21,16-Dec-22,LIMITED LIABILITY COMPANY,38.597067,-121.457286,"(-121.457286,38.597067)",,34,SACRAMENTO,6067,,,,,,15-Mar-22,False,False,False,True
12753,LICENSED ONLY,,,630024438,OPEN,,,,,,,,,,,,,,"ALISO RIDGE BEHAVIORAL HEALTH, LLC",APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,119,200 FREEDOM LN,ALISO VIEJO,92656,,"FRANKS, PHILIP",OLIVENE.JAMES-DAVIS@SIGNATUREHC.COM,(248) 905-5096,(248) 839-5380,400,ORANGE,6,ORANGE,Y,,PARENT,,550007782.0,"ALISO RIDGE BEHAVIORAL HEALTH, LLC",ACTIVE,14-Jan-22,14-Jan-22,13-Jan-23,LIMITED LIABILITY COMPANY,33.562926,-117.7279245,"(-117.7279245,33.562926)",,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
12994,LICENSED AND CERTIFIED,,,930000021,OPEN,CA930000021,054032,,1-Jul-66,28-Jul-21,1194758623,Y,Y,1.0,1.0,11/16/19 0:00,,JC,BHC ALHAMBRA HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,97,4619 ROSEMEAD BLVD,ROSEMEAD,91770,1478,"MINNICK, MARGARET (PEGGY)",PEGGY.MINNICK@UHSINC.COM,(626) 286-2489,(626) 286-1191,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000006.0,"BHC ALHAMBRA HOSPITAL, INC.",ACTIVE,1-Jan-46,21-Feb-22,20-Feb-23,PROFIT CORP,34.08876,-118.073889,"(-118.073889,34.08876)",106190020.0,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
13032,LICENSED AND CERTIFIED,USE PARENT MATCH,,930000083,OPEN,93000114,050776,,29-Oct-13,21-Dec-17,1215373626,Y,Y,0.0,15.0,10/29/16 0:00,5/28/20 0:00,DNV GL,COLLEGE MEDICAL CENTER SOUTH CAMPUS D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,36,1725 PACIFIC AVE,LONG BEACH,90813,1714,"EINHORN, SAMUEL",,,(562) 599-3551,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,N,930000114.0,DISTINCT PART,24-Feb-05,930000117.0,"CHLB,LLC",ACTIVE,13-Jun-56,9-Oct-21,8-Oct-22,LIMITED LIABILITY COMPANY,33.788475,-118.194129,"(-118.194129,33.788475)",106190477.0,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
13039,LICENSED AND CERTIFIED,USE PARENT MATCH,,930000094,OPEN,93000114,050776,,29-Oct-13,21-Dec-17,1215373626,Y,Y,0.0,15.0,10/29/16 0:00,5/28/20 0:00,DNV GL,COLLEGE MEDICAL CENTER HAWTHORNE CAMPUS,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,64,13300 HAWTHORNE BLVD,HAWTHORNE,90250,5805,"FURSTMAN, MARC",,,(424) 365-3000,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,N,930000114.0,DISTINCT PART,9-Jul-14,930000117.0,"CHLB,LLC",ACTIVE,13-Jun-56,9-Oct-21,8-Oct-22,LIMITED LIABILITY COMPANY,33.911649,-118.3518675,"(-118.3518675,33.911649)",106190523.0,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
13048,LICENSED AND CERTIFIED,,,930000109,OPEN,CA93000109,054156,,,,,Y,Y,0.0,,,,,MOTION PICTURE & TELEVISION HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,12,23388 MULHOLLAND DR,WOODLAND HILLS,91364,2733,"DINHAM, VILMA L",INFO@MPTF.COM,(818) 876-1079,(818) 876-1043,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000109.0,MOTION PICTURE AND TELEVISION FUND,ACTIVE,20-Mar-46,1-Nov-21,31-Oct-22,NONPROFIT CORP,34.156458,-118.6351785,"(-118.6351785,34.156458)",106190552.0,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
