facility_name,facility_type,address,city,county,state,zip,capacity,latitude,longitude,other_details,phone_number
"Pillars Recovery, Llc",NON,1545 Newport Blvd,COSTA MESA,Orange County,CA,92627,0,33.63221927,-117.9239632,Co-Ed,(949) 548-2700 
South Coast Behavioral Health,RES-DETOX,559 Pierpont Drive,COSTA MESA,Orange County,CA,92626,6,33.68498647,-117.87948,Co-Ed,(949) 438-2109 
South Coast Behavioral Health,RES-DETOX,275 East Wilson Street,COSTA MESA,Orange County,CA,92627,6,33.65214571,-117.8980466,Co-Ed,(949) 274-8150 
"Oceanfront Recovery At Laguna Beach, Llc",NON,900 Glenneyre Street,LAGUNA BEACH,Orange County,CA,92651,0,33.536349,-117.7771635,Co-Ed,(414) 614-7244 
South Coast Behavioral Health,RES-DETOX,1068 San Pablo Circle,COSTA MESA,Orange County,CA,92626,6,33.69345252,-117.9017204,Co-Ed,(714) 760-4052 
"Oceanfront Recovery At Laguna Beach, Llc",RES-DETOX,431 Nyes Pl.,LAGUNA BEACH,Orange County,CA,92651,6,33.52356507,-117.7609233,Co-Ed,(949) 549-4943 
"Oceanfront Recovery At Laguna Beach, Llc",RES-DETOX,2808 Zell Drive,LAGUNA BEACH,Orange County,CA,92651,6,33.544953,-117.755334,Co-Ed,(949) 777-4756 
Beachside Recovery Llc,RES-DETOX,10231 Brier Lane,NORTH TUSTIN,Orange County,CA,92705-1518,10,33.77590629,-117.7758622,Men Only,(888) 387-5576 
"Advances In Mental Health And Addictions Treatment, Inc.",NON,18672 Florida Street,HUNTINGTON BEACH,Orange County,CA,92648,0,33.69115515,-117.9910482,Co-Ed,(562) 310-3777 
Casa Capri Llc,RES-DETOX,671 Governor Street,COSTA MESA,Orange County,CA,92627,24,33.65319024,-117.9263861,Women Only,(657) 304-0158 
"Oceanfront Recovery At Laguna Beach, Llc",RES-DETOX,2575 Temple Hills Drive,LAGUNA BEACH,Orange County,CA,92651,6,33.54821296,-117.7586868,Co-Ed,(877) 279-1777 
"South Shores Detox, Llc",RES-DETOX,27568 Vista De Dons,DANA POINT,Orange County,CA,92624,6,33.44827879,-117.649901,Co-Ed,(949) 218-2347 
Casa Capri Llc,NON,4001 Westerly Place,NEWPORT BEACH,Orange County,CA,92660,0,33.66358091,-117.8682695,Women Only,(949) 942-1985 
"Hoag Neurobehavioral Health, Llc",RES,1 Hoag Drive,NEWPORT BEACH,Orange County,CA,92663-4162,21,33.62520933,-117.9294787,Co-Ed,(949) 764-5656 
"Compass Recovery, Inc.",NON,3151 Airway Avenue,COSTA MESA,Orange County,CA,92626,0,33.67778346,-117.8721557,Co-Ed,(855) 204-7053 
"Compass Recovery, Inc.",RES-DETOX,9431 Alderbury Street,CYPRESS,Orange County,CA,90630,12,33.82530451,-118.0507311,Co-Ed,(949) 370-6018 
"A Better Life Recovery, Llc",RES-DETOX,27171 Calle Juanita ,DANA POINT,Orange County,CA,92624,6,33.46296758,-117.6557959,Co-Ed,(949) 313-4709 
"Sober Spot, Llc, The",NON,23276 South Pointe Drive,LAGUNA HILLS,Orange County,CA,92653,0,33.62531576,-117.7235302,Co-Ed,(949) 397-1372 
"South Shores Detox, Llc",NON,27184 Ortega Highway,SAN JUAN CAPISTRANO,Orange County,CA,92675-5700,0,33.50321394,-117.6559492,Co-Ed,(949) 218-2347 
"Turning Point Treatment Center, Inc.",RES-DETOX,24851 Via Santa Cruz,MISSION VIEJO,Orange County,CA,92692,6,33.60194288,-117.6553322,Co-Ed,(949) 215-0360 
"A Better Life Recovery, Llc",NON,30310 Rancho Viejo Road,SAN JUAN CAPISTRANO,Orange County,CA,92675,0,33.52272727,-117.6645127,Co-Ed,(949) 439-9496 
"Fresh Start Of California, Llc",RES-DETOX,503 N Daisy Avenue  ,SANTA ANA,Orange County,CA,92703,12,33.74883111,-117.8949428,Co-Ed,(714) 558-2600 
"A Better Life Recovery, Llc",NON,30300 Rancho Viejo Road,SAN JUAN CAPISTRANO,Orange County,CA,92675,0,33.52255498,-117.6652254,Co-Ed,(949) 313-7444 
"The Duck House, Llc",RES-DETOX,511 S. Greenwich Street,ANAHEIM,Orange County,CA,92804,12,33.82642839,-117.9628815,Co-Ed,(657) 266-0623 
"Capo Canyon Recovery, Llc",RES-DETOX,26991 El Ciervo Lane,MISSION VIEJO,Orange County,CA,92691,6,33.58160595,-117.6598462,Co-Ed,(800) 804-8714 
"Pain Recovery Medical Group, Inc.",NON,32301 Camino Capistrano,SAN JUAN CAPISTRANO,Orange County,CA,92672,0,33.49403271,-117.6627601,Co-Ed,(844) 900-0444 
"Turning Point Treatment Center, Inc.",NON,23331 El Toro Road,LAKE FOREST,Orange County,CA,92630,0,33.624189,-117.6968205,Co-Ed,(949) 215-3775 
"417 San Clemente, Llc.",NON,26010 Acero Street,MISSION VIEJO,Orange County,CA,92691,0,33.617196,-117.6765885,Families,(949) 353-5017 
California Prime Recovery Services Inc,NON,17330 Newhope Street,FOUNTAIN VALLEY,Orange County,CA,92708,0,33.711633,-117.9278415,Co-Ed,(714) 434-8030 
Healing Path Detox Llc,RES-DETOX,7661 Amberleaf Circle,HUNTINGTON BEACH,Orange County,CA,92648,14,33.69180146,-117.994608,Co-Ed,(657) 329-0369 
"Wavelengths Recovery, Llc",RES-DETOX,701 Huntington Street,HUNTINGTON BEACH,Orange County,CA,92648,6,33.663168,-117.995328,Co-Ed,(714) 312-1011 
Substance Treatment Addiction Recovery Detox Center,RES-DETOX,1822 South Bayless Street,ANAHEIM,Orange County,CA,92802,6,33.80229238,-117.936572,Co-Ed,(844) 557-6237 
"Wavelengths Recovery, Llc",RES-DETOX,101 Huntington Street,HUNTINGTON BEACH,Orange County,CA,92648,6,33.657768,-117.995148,Co-Ed,(714) 312-1011 
"Wavelengths Recovery, Llc",RES-DETOX,7761 Garfield Avenue,HUNTINGTON BEACH,Orange County,CA,92648,6,33.68675386,-117.9927498,Co-Ed,(714) 312-1011 
Healthright 360,RES,15405 Lansdowne Road,TUSTIN,Orange County,CA,92782,15,33.716952,-117.8305785,Women/Children,(714) 566-8433 
"Wavelengths Recovery, Llc",RES-DETOX,7761 Garfield Avenue,HUNTINGTON BEACH,Orange County,CA,92648,6,33.68675386,-117.9927498,Co-Ed,(714) 312-1011 
"Wavelengths Recovery, Llc",NON,301 Main Street,HUNTINGTON BEACH,Orange County,CA,92648,0,33.65936244,-117.9997907,Co-Ed,(714) 312-1011 
"Clear Detox Center, Inc.",RES-DETOX,546 Hamilton Street,COSTA MESA,Orange County,CA,92627,5,33.65073614,-117.9211577,Co-Ed,(949) 200-7555 
"Southern California Sunrise Recovery Center, Llc",RES-DETOX,30471 Via Alcazar Avenue,LAGUNA NIGUEL,Orange County,CA,92677,6,33.52060044,-117.7053872,Co-Ed,(626) 780-1076 
"Wavelengths Recovery, Llc",RES-DETOX,16382 North Pacific Avenue,SUNSET BEACH,Orange County,CA,90742,6,33.72342949,-118.0774965,Co-Ed,(714) 312-1011 
"Wavelengths Recovery, Llc",RES-DETOX,16386 North Pacific Avenue,SUNSET BEACH,Orange County,CA,90742,6,33.72337967,-118.07744,Co-Ed,(714) 312-1011 
"Kkb Health Solutions, Llc",RES-DETOX,2822 Monterey Avenue,COSTA MESA,Orange County,CA,92626,6,33.674985,-117.9057375,Co-Ed,(657) 210-4118 
Anchored Tides Recovery,NON,19126 Magnolia Street,HUNTINGTON BEACH,Orange County,CA,92646,0,33.6853743,-117.9713622,Co-Ed,(714) 377-7706 
"Kkb Health Solutions, Llc",RES-DETOX,15964 Mccord Circle,FOUNTAIN VALLEY,Orange County,CA,92708,6,33.730893,-117.9550215,Co-Ed,(844) 961-2176 
"New Existence, Llc",RES-DETOX,423 13Th Street,HUNTINGTON BEACH,Orange County,CA,92648,6,33.66566639,-118.0059314,Co-Ed,(714) 404-2913 
R & R Recovery Services,NON,18682 Beach Bouvelard,HUNTINGTON BEACH,Orange County,CA,92648,0,33.69145066,-117.9886698,Families,(949) 307-6660 
"Hilltop Way, Llc",RES-DETOX,3813 Via Del Campo,SAN CLEMENTE,Orange County,CA,92673,6,33.46625021,-117.6538089,Co-Ed,(949) 545-7623 
"Coastal Addiction Center, Inc.",RES-DETOX,527 S. Archer St.,ANAHEIM,Orange County,CA,92804,6,33.82545717,-117.9572712,Co-Ed,(657) 456-0261 
Sobriety Support Solutions,RES-DETOX,147 El Levante,SAN CLEMENTE,Orange County,CA,92672,6,33.43274967,-117.6093347,Co-Ed,(503) 793-8919 
"Dana Point Detox, Llc",RES-DETOX,24832 La Paz Avenue,DANA POINT,Orange County,CA,92629,6,33.47077951,-117.69696,Co-Ed,(949) 239-5401 
American Addiction Institute Of Mind And Medicine,NON,1533 E. 4Th Street,SANTA ANA,Orange County,CA,92101,0,33.7481345,-117.8484165,Co-Ed,(949) 929-6203 
Teagle Hall Llc ,RES-DETOX,2136 Thurin Street,COSTA MESA,Orange County,CA,92627,6,33.65188025,-117.9139774,Co-Ed,(877) 213-2669 
Teagle Hall Llc ,RES-DETOX,2137 Doctors Circle,COSTA MESA,Orange County,CA,92627,6,33.65194461,-117.9129588,Co-Ed,(877) 213-2669 
Teagle Hall Llc ,RES-DETOX,316 Hamilton Street,COSTA MESA,Orange County,CA,92627,6,33.65092435,-117.9126456,Co-Ed,(877) 213-2669 
Teagle Hall Llc ,RES-DETOX,395 Victoria Street,COSTA MESA,Orange County,CA,92627,6,33.65257038,-117.9159166,Co-Ed,(877) 213-2669 
Teagle Hall Llc ,RES-DETOX,2136 Thurin Street,COSTA MESA,Orange County,CA,92627,6,33.65188025,-117.9139774,Co-Ed,(877) 213-2669 
Life Vessel Treatment And Recovery Driza Llc,RES-DETOX,28312 Driza,MISSION VIEJO,Orange County,CA,92692,6,33.62967966,-117.6364783,Dual Diagnosis,(925) 457-3001 
Teagle Hall Llc ,RES-DETOX,2137 Doctors Circle,COSTA MESA,Orange County,CA,92627,6,33.65194461,-117.9129588,Co-Ed,(877) 213-2669 
Teagle Hall Llc ,NON,3822 Campus Drive,NEWPORT BEACH,Orange County,CA,92660,0,33.663897,-117.872937,Co-Ed,(877) 213-2669 
"Crescent Moon Recovery, Llc",NON,11770 Warner Avenue,FOUNTAIN VALLEY,Orange County,CA,92708,0,33.71602792,-117.9246009,Dual Diagnosis,(714) 464-8474 
Ims Services Llc,RES-DETOX,24832 La Paz Ave,DANA POINT,Orange County,CA,92629,6,33.47077951,-117.69696,Dual Diagnosis,(949) 239-5401 
Indah Recovery Llc,RES-DETOX,35492 Del Rey,DANA POINT,Orange County,CA,92624-1836,6,33.4486208,-117.6516897,Co-Ed,(310) 889-4518 
Ari Recovery Llc,RES-DETOX,8342 Bryant Dr.,HUNTINGTON BEACH,Orange County,CA,92647,6,33.72079199,-117.982829,Dual Diagnosis,(818) 521-0602 
"Ca Ya Services, Llc",DSS,10022 Miramar Cir,SANTA ANA,Orange County,CA,92705-1502,0,33.78058153,-117.7753402,Families,(714) 393-3523 
"Ca Ya Services, Llc",DSS,12822 Periwinkle Drive,NORTH TUSTIN,Orange County,CA,92705,0,33.77575323,-117.7935335,Men Only,(714) 393-3523 
"Altignis Health, Llc",NON,31642 South Coast Highway,LAGUNA BEACH,Orange County,CA,92651,0,33.50296612,-117.7446839,Co-Ed,(949) 356-7542 
"Ca Ya Services, Llc",DSS,9881 Deerhaven Drive,NORTH TUSTIN,Orange County,CA,92705,0,33.777909,-117.765909,Families,(714) 393-3523 
"True Recovery, Lp",NON,20351 Sw Acacia Street,NEWPORT BEACH,Orange County,CA,92660,0,33.65783895,-117.8795466,Dual Diagnosis,(949) 864-6250 
"True Recovery, Lp",RES-DETOX,20621 Paisley Lane,HUNTINGTON BEACH,Orange County,CA,92646,6,33.66330778,-117.9619307,Dual Diagnosis,(949) 864-6250 
"True Recovery, Lp",RES-DETOX,902 W. Alpine Avenue,SANTA ANA,Orange County,CA,92707,6,33.700284,-117.8772345,Dual Diagnosis,(949) 864-6250 
City Recovery Intensive Outpatient Program Inc.,NON,1100 Town And Country Rd.,ORANGE,Orange County,CA,92868,0,33.77648107,-117.8641589,Co-Ed,(714) 299-8472 
California Care Detox & Treatment Llc (Dba) California Care Recovery,RES-DETOX,26452 Aracena Drive,MISSION VIEJO,Orange County,CA,92691,6,33.60034054,-117.6687615,Co-Ed,(949) 291-3333 
California Wellness Center Inc.,RES-DETOX,24842 Pylos Way,MISSION VIEJO,Orange County,CA,92691,6,33.60128261,-117.6801652,Dual Diagnosis,(949) 463-9876 
Pacific Sands Recovery Center Llc,RES-DETOX,1909 W Carlton Place,SANTA ANA,Orange County,CA,92704,6,33.722577,-117.8940825,Dual Diagnosis,(714) 486-2888 
"Recovery Solutions, Llc",RES-DETOX,209 E. 18Th Street,COSTA MESA,Orange County,CA,92627,12,33.63786075,-117.9156795,Co-Ed,(949) 270-6217 
"Recovery Solutions, Llc",NON-DETOX,27184 Ortega Hwy,SAN JUAN CAPISTRANO,Orange County,CA,92675,0,33.50321394,-117.6559492,Co-Ed,(949) 503-3270 
"Ch Mh Services (Ca), Llc",NON,4199 Campus Drive,IRVINE,Orange County,CA,92612,0,33.650793,-117.8382915,Co-Ed,(406) 361-3001 
Venus Recovery Llc,RES-DETOX,29795 Andrea Way,LAGUNA NIGUEL,Orange County,CA,92677,6,33.529212,-117.714969,Co-Ed,(949) 751-7761 
Telecare Corporation,RES-DETOX,265 South Anita Drive,ORANGE,Orange County,CA,92868,42,33.78501235,-117.8811747,Dual Diagnosis,(949) 749-2500 
Enhance Health Group Llc,NON,1720 W. Ball Road,ANAHEIM,Orange County,CA,92804,0,33.81784253,-117.942624,Dual Diagnosis,(833) 903-3334 
Zoe Behavioral Health Inc.,NON,23591 El Toro,LAKE FOREST ,Orange County,CA,92630,0,33.62211,-117.7013745,Co-Ed,(800) 563-8983 
"Magic House Recovery, Inc",RES-DETOX,2220 W Judith Ln,ANAHEIM,Orange County,CA,92804,8,33.80459092,-117.9602626,Co-Ed,(657) 201-3269 
"Bewell Orange County, Llc",RES-DETOX,24621 Aquilla Drive,DANA POINT,Orange County,CA,92629,6,33.48341856,-117.7001824,Dual Diagnosis,(949) 426-8050 
"Bewell Orange County, Llc",NON,27130 Paseo Espada,SAN JUAN CAPISTRANO,Orange County,CA,92675,0,33.50101569,-117.6552118,Dual Diagnosis,(949) 529-5945 
"Bewell Orange County, Llc",RES-DETOX,26572 Royal Drive,SAN JUAN CAPISTRANO ,Orange County,CA,92675,6,33.5261048,-117.6664155,Dual Diagnosis,(949) 324-0635 
Jjlt Holdings Llc,RES-DETOX,402 Lake Street,HUNTINGTON BEACH,Orange County,CA,92648,6,33.66012846,-117.9977418,Dual Diagnosis,(714) 589-0676 
Compassion Recovery Centers Llc,NON,23141 Moulton Parkway,LAGUNA HILLS,Orange County,CA,92653,0,33.62631811,-117.730586,Dual Diagnosis,(855) 444-0130 
Still Water Wellness Group,RES-DETOX,24101 Big Timber St,LAKE FOREST,Orange County,CA,92630,6,33.632028,-117.7092,Co-Ed,(949) 446-6075 
"Hillside Management Services, Llc",RES-DETOX,23371 Rockrose,MISSION VIEJO,Orange County,CA,92692,6,33.62284548,-117.6295366,Co-Ed,(949) 418-6825 
Oceanrock Llc,NON,1100 Quail Street,NEWPORT BEACH,Orange County,CA,92660,0,33.65955331,-117.8665121,Co-Ed,(949) 234-7236 
"The Reckless Recover, Inc.",NON,8700 Warner Ave,FOUNTAIN VALLEY,Orange County,CA,92708,0,33.715458,-117.977211,Co-Ed,(714) 904-2435 
Jlk Strength Llc,NON,3400 Irvine Ave,NEWPORT BEACH,Orange County,CA,92660,0,33.659919,-117.8766,Co-Ed,(949) 244-2279 
New Experience Llc,NON,701 East Ball Road,ANAHEIM,Orange County,CA,92805,0,33.81811847,-117.901062,Dual Diagnosis,(714) 814-0272 
Brickfire Llc,NON,1560 Brookhollow Dr.,SANTA ANA,Orange County,CA,92705,0,33.7130745,-117.8487456,Co-Ed,(714) 352-9138 
"Modern Recovery, Inc.",NON,4199 Campus Dr.,IRVINE,Orange County,CA,92612,0,33.650793,-117.8382915,Dual Diagnosis,(949) 609-6500 
"Elite Care, Inc.",RES-DETOX,697 Plumer Street,COSTA MESA,Orange County,CA,92627,6,33.642234,-117.927432,Co-Ed,(949) 220-7999 
"True Life Recovery, Inc.",RES-DETOX,16832 Maple Street,FOUNTAIN VALLEY,Orange County,CA,92708,6,33.71850477,-117.9677816,Co-Ed,(714) 698-8950 
"Elite Care, Inc.",NON,657 W 19Th Street,COSTA MESA,Orange County,CA,92627,0,33.64340213,-117.9255629,Co-Ed,(949) 220-7999 
"The Teen Project, Inc.",DSS,20302 Flanagan Road,TRABUCO CANYON,Orange County,CA,92679-0975,0,33.66745469,-117.5842512,Dual Diagnosis,(949) 283-1260 
"Octlc, Inc.",DSS,7888 E. Autry Drive,ANAHEIM,Orange County,CA,92808,0,33.86495886,-117.7612745,Co-Ed,(714) 376-5889 
"Octlc, Inc.",DSS,7898 E. Autry Drive,ANAHEIM,Orange County,CA,92808,0,33.86529899,-117.7617969,Co-Ed,(714) 376-5889 
"Octlc, Inc.",NON-DETOX,125 South Chaparral Court,ANAHEIM,Orange County,CA,92808,0,33.865065,-117.745641,Co-Ed,(714) 376-5889 
"Pacific Solstice, Llc",NON,26732 Crown Valley Parkway,MISSION VIEJO,Orange County,CA,92691,0,33.562872,-117.665181,Co-Ed,(949) 200-7929 
"New Life Treatment Center, Inc.",RES-DETOX,331 East Adams Street,SANTA ANA,Orange County,CA,92707,6,33.71291383,-117.8648717,Co-Ed,(714) 676-5400 
"New Life Treatment Center, Inc.",RES-DETOX,327 E. Adams Street,SANTA ANA,Orange County,CA,92707,6,33.7128738,-117.864015,Co-Ed,(714) 676-5400 
"New Life Treatment Center, Inc.",RES-DETOX,335 E. Adams Street,SANTA ANA,Orange County,CA,92707,6,33.71286414,-117.8636904,Co-Ed,(714) 676-5400 
"Milestone Detox, Llc",RES-DETOX,31981 Calle Winona,SAN JUAN CAPISTRANO,Orange County,CA,92675,6,33.49834347,-117.6693888,Co-Ed,(949) 388-4114 
"Akua Behavioral Health, Inc.",RES-DETOX,326 & 328 University Drive,COSTA MESA,Orange County,CA,92627,12,33.65761208,-117.8894491,Men Only,(707) 777-2283 
"New Life Treatment Center, Inc.",NON,1940 W Orangewood Avenue,ORANGE,Orange County,CA,92868,0,33.7956696,-117.8730164,Co-Ed,(714) 676-5400 
"Akua Behavioral Health, Inc.",RES-DETOX,319- A University Dr.,COSTA MESA,Orange County,CA,92627,6,33.65766964,-117.8896926,Women Only,(949) 777-2283 
"Akua Behavioral Health, Inc.",RES-DETOX,319- B University Dr.,COSTA MESA,Orange County,CA,92627,6,33.65766964,-117.8896926,Co-Ed,(949) 777-2283 
"12 South, Llc",NON,23712 Birtcher Drive,LAKE FOREST,Orange County,CA,92630,0,33.63333981,-117.7163914,Co-Ed,(888) 830-8374 
"Rising Roads Recovery Services For Women, Llc",RES,10905 El Domino Avenue,FOUNTAIN VALLEY,Orange County,CA,92708,6,33.71420084,-117.9388841,Women Only,(866) 746-1558 
"Realign Detox, Llc",RES-DETOX,29552 Crown Creek,LAGUNA NIGUEL,Orange County,CA,92677-3951,6,33.53382554,-117.702829,Co-Ed,(949) 218-2063 
"Rising Roads Recovery Services For Women, Llc",RES-DETOX,10605 El Este Avenue,FOUNTAIN VALLEY,Orange County,CA,92708,6,33.70325647,-117.9438075,Women Only,(866) 746-1558 
"Joshua House, Llc",NON,3822 Campus Drive,NEWPORT BEACH,Orange County,CA,92660,0,33.663897,-117.872937,Co-Ed,(949) 650-4334 
"Rising Roads Recovery Services For Women, Llc",NON,2750 S. Harbor Boulevard,SANTA ANA,Orange County,CA,92704,0,33.71012074,-117.919822,Women Only,(714) 673-9007 
"Joshua House, Llc",RES-DETOX,9842 13Th Street,GARDEN GROVE,Orange County,CA,92844,87,33.75578774,-117.9569364,Co-Ed,(949) 650-4334 
The Well Recovery Partners,RES-DETOX,5282 Cornell Avenue,WESTMINSTER,Orange County,CA,92683,6,33.76337589,-118.0376625,Co-Ed,(714) 372-7717 
"Safe And Sound Treatment, Llc",NON,1182 Bristol Street,COSTA MESA,Orange County,CA,92626,0,33.67004266,-117.886112,Co-Ed,(949) 836-8779 
"Life Vessel Treatment And Recovery Centers, Llc",RES-DETOX,25466 Gloriosa Drive,MISSION VIEJO,Orange County,CA,92691,6,33.60469628,-117.6860128,Co-Ed,(949) 533-9991 
"Woman'S Recovery Center, Llc",NON,30302 Esperanza,RANCHO SANTA MARGARITA,Orange County,CA,92688,0,33.63066865,-117.60149,Women Only,(949) 713-7701 
Adango Health Center,RES-DETOX,22751 Lajares,MISSION VIEJO,Orange County,CA,92692,6,33.6319787,-117.6394188,Co-Ed,(714) 719-2602 
The Well Recovery Partners,RES-DETOX,603 Lake Street,HUNTINGTON BEACH,Orange County,CA,92648,6,33.6627,-117.998154,Co-Ed,(714) 862-8613 
"Renaissance Recovery, Llc",NON,10175 Slater Avenue,FOUNTAIN VALLEY,Orange County,CA,92708,0,33.709608,-117.9517815,Co-Ed,(866) 330-9449 
"Buckeye Recovery Network , Llc",NON,19322 Beach Boulevard,HUNTINGTON BEACH,Orange County,CA,92648,0,33.68174168,-117.9885645,Co-Ed,(949) 515-9195 
Rebel New Life Treatment Center Llc,RES-DETOX,2309 E. Sycamore Street,ANAHEIM,Orange County,CA,92806,6,33.84570404,-117.8834711,Co-Ed,(310) 999-4300 
Rebel New Life Treatment Center Llc,RES-DETOX,2029 W. Chateau Ave,ANAHEIM,Orange County,CA,92804,6,33.82112708,-117.9539941,Dual Diagnosis,(310) 999-4300 
Double Helix Sober Living Solutions Inc. ,RES-DETOX,8151 Falmouth Drive,HUNTINGTON BEACH,Orange County,CA,92646,6,33.68318313,-117.9858991,Dual Diagnosis,(714) 856-7545 
Double Helix Sober Living Solutions Inc. ,RES-DETOX,8781 Albatross Drive,HUNTINGTON BEACH,Orange County,CA,92646-3302,6,33.679242,-117.9748215,Co-Ed,(714) 856-7545 
Restorations Health Care Llc,RES-DETOX,127 West Palmyra Avenue,ORANGE,Orange County,CA,92866,12,33.78423367,-117.8537666,Co-Ed,(714) 331-3657 
Melrose Recovery Llc,NON-DETOX,1247 N. Lakeview Avenue,ANAHEIM,Orange County,CA,92807-1841,0,33.86188247,-117.8185083,Co-Ed,(714) 970-1965 
Restorations Health Care Llc,NON,4430 East Miraloma Avenue,ANAHEIM,Orange County,CA,92807,0,33.861981,-117.8193738,Dual Diagnosis,(714) 331-3657 
Mountain Side Behavioral Health Llc,NON,70 College Way,AUBURN,Placer County,CA,95603,0,38.8963235,-121.0744315,Co-Ed,(888) 290-0925 
The District Recovery Center Llc,NON,10175 Slater Avenue,FOUNTAIN VALLEY,Orange County,CA,92708,0,33.709608,-117.9517815,Co-Ed,(302) 242-7074 
"California Behavioral Healthcare, Llc",RES-DETOX,25402 Hillary Lane,LAGUNA HILLS,Orange County,CA,92653,6,33.59335859,-117.6943642,Co-Ed,(818) 280-6425 
Sagebrush Llc,NON,550 N. Golden Circle,SANTA ANA,Orange County,CA,92705,0,33.74892193,-117.8383361,Co-Ed,(800) 542-4569 
Mountain Side Behavioral Health Llc,RES-DETOX,1033 South Auburn St.,COLFAX,Placer County,CA,95713,15,39.08993354,-120.95315,Co-Ed,(888) 290-0925 
Cdt Service Corporation,RES-DETOX,6380 Wells Avenue,LOOMIS,Placer County,CA,95650,6,38.78476494,-121.1822278,Co-Ed,(916) 432-2205 
Hope Help And Healing,NON,11960 Heritage Oak Place,AUBURN,Placer County,CA,95603-2403,0,38.94073231,-121.0989345,Co-Ed,(530) 885-4249 
Hope Help And Healing,RES,318 Lincoln Way,AUBURN,Placer County,CA,95603,6,38.90661661,-121.0663873,Men Only,(530) 392-0432 
Granite Wellness Centers,NON,12183 Locksley Lane,AUBURN,Placer County,CA,95602-2050,0,38.95029448,-121.096638,Co-Ed,(530) 885-1961 
California Recovery Center Llc,RES-DETOX,423 Oak Street,ROSEVILLE,Placer County,CA,95678,11,38.74660275,-121.2850378,Co-Ed,(916) 380-5808 
Granite Wellness Centers,NON,730 Sunrise Avenue,ROSEVILLE,Placer County,CA,95661-4553,0,38.733552,-121.2737895,Co-Ed,(916) 797-8979 
Pathways Recovery,RES-DETOX,1101 Kensington Drive,ROSEVILLE,Placer County,CA,95661,6,38.726856,-121.273254,Men Only,(916) 846-7696 
Granite Wellness Centers,RES-DETOX,12125 Shale Ridge Lane,AUBURN,Placer County,CA,95602,28,38.95304146,-121.097889,Co-Ed,(530) 885-1917 
Granite Wellness Centers,NON,1530 3Rd Street,LINCOLN,Placer County,CA,95648-2500,0,38.88921749,-121.3036201,Co-Ed,(916) 434-8927 
"Azevedo, Inc.",NON,3900 Rocklin Rdl,ROCKLIN,Placer County,CA,98677,0,38.79026606,-121.2349017,Co-Ed,(916) 234-0097 
Pathways Recovery,NON,775 Sunrise Avenue,ROSEVILLE,Placer County,CA,95661,0,38.732409,-121.270896,Co-Ed,(916) 735-8377 
"A.B.C. Recovery Center, Inc.",RES-DETOX,44374 Palm Street,INDIO,Riverside County,CA,92201,75,33.726312,-116.2276875,Co-Ed/Children,(760) 342-6616 X234
Native Alliance Of The Sierra Nevada Foothills,NON,610  Auburn Ravine Road,AUBURN,Placer County,CA,95603-3930,0,38.91137791,-121.074626,Co-Ed,(530) 888-8767 
"A.B.C. Recovery Center, Inc.",NON,82353 Indio Blvd.,INDIO,Riverside County,CA,92201,0,33.72670559,-116.2281038,Youth/Adolescent,(760) 342-6616 
"The Ranch Recovery Centers, Inc.",RES-DETOX,7885 Annandale Avenue,DESERT HOT SPRINGS,Riverside County,CA,92240-1419,46,33.99024721,-116.5247894,Men Only,(760) 329-2924 
"The Ranch Recovery Centers, Inc.",RES-DETOX,12890 Quinta Way,DESERT HOT SPRINGS,Riverside County,CA,92240-4852,35,33.9548819,-116.4761204,Women Only,(760) 329-0169 
Whiteside Manor,RES-DETOX,2709 Orange Street,RIVERSIDE,Riverside County,CA,92501,32,33.991317,-117.3667815,Men Only,(951) 686-9454 
Whiteside Manor,RES-DETOX,2452 Wilshire Street,RIVERSIDE,Riverside County,CA,92501,14,33.99448504,-117.3676137,Women Only,(951) 682-6631 
Whiteside Manor,RES-DETOX,4750 Palm Avenue,RIVERSIDE,Riverside County,CA,92501,12,33.976323,-117.3906765,Women Only,(951) 686-0021 
Riverside Recovery Resources,NON,3757 Elizabeth Street,RIVERSIDE,Riverside County,CA,92506,0,33.95864051,-117.391634,Co-Ed,(951) 684-3744 
Solid Ground Wellness In Recovery Llc,NON,6860 Brockton Avenue,RIVERSIDE,Riverside County,CA,92506,0,33.94900017,-117.3967196,Co-Ed,(888) 747-6863 
Riverside Recovery Resources,NON,600 Third Street,LAKE ELSINORE,Riverside County,CA,92530,0,33.686946,-117.3360195,Co-Ed,(951) 674-5354 
Mfi Recovery Center,RES-DETOX,4295 Brockton Avenue,RIVERSIDE,Riverside County,CA,92501,38,33.979725,-117.382572,Women/Children,(951) 683-6596 
Mfi Recovery Center,RES-DETOX,17270 Roosevelt Street,RIVERSIDE,Riverside County,CA,92508,56,33.86770804,-117.3487607,Men Only,(951) 683-6596 
Mfi Recovery Center,NON,1035 West Ramsey Street,BANNING,Riverside County,CA,92220,0,33.92544752,-116.888373,Co-Ed,(951) 683-6596 
Mfi Recovery Center,NON-DETOX,5870 Arlington Avenue,RIVERSIDE,Riverside County,CA,92504,0,33.94592962,-117.4312897,Co-Ed,(951) 683-6596 
Mfi Recovery Center,RES-DETOX,4440 University Avenue,RIVERSIDE,Riverside County,CA,92501,33,33.98602307,-117.3834324,Co-Ed,(951) 683-6596 
Mfi Recovery Center,RES-DETOX,43250 Midnight Ct,BANNING,Riverside County,CA,92220,6,33.96043243,-116.9065346,Men Only,(651) 683-6596 
